SIP;SIP;424;424 (Bad Location Information);UE;UE;位置信息错误
SIP;SIP;429;429 (Provide Referrer Identity);UE;UE;提供关联身份
SIP;SIP;430;430 (Flow Failed);UE;UE;流程错误
SIP;SIP;433;433 (Anonymity Disallowed);UE;UE;匿名拒绝
SIP;SIP;439;439 (First Hop Lacks Outbound Support);UE;UE;代理跳转错误
SIP;SIP;440;440 (Max Breadth Exceeded);UE;UE;超过最大心跳
SIP;SIP;469;469 (Bad INFO Package);UE;UE;INFO包错误
SIP;SIP;470;470 (Consent Needed);UE;UE;需要同步
SIP;SIP;480;480 (Temporarily Unavailable);UE;UE;暂时不可用
SIP;SIP;481;481 (Call/Transaction Does Not Exist);UE;UE;事务不存在
SIP;SIP;482;482 (Loop Detected);UE;UE;环路
SIP;SIP;483;483 (Too Many Hops);UE;UE;跳转过多
SIP;SIP;484;484 (Address Incomplete);UE;UE;地址不完整
SIP;SIP;485;485 (Ambiguous);UE;UE;模糊的
SIP;SIP;486;486 (Busy Here);UE;UE;处理忙
SIP;SIP;487;487 (Request Terminated);UE;UE;请求结束
SIP;SIP;488;488 (Not Acceptable Here);UE;UE;不恰当请求
SIP;SIP;489;489 (Bad Event);UE;UE;异常事件
SIP;SIP;491;491 (Request Pending);UE;UE;请求挂起
SIP;SIP;493;493 (Undecipherable);UE;UE;无法解析
SIP;SIP;494;494 (Security Agreement Required);UE;UE;需要安全协商
SIP;SIP;500;500 (Internal Server Error);IMS;IMS，PCSCF-IP;服务器内部错误
SIP;SIP;501;501 (Not Implemented);IMS;IMS，PCSCF-IP;未执行
SIP;SIP;502;502 (Bad Gateway);IMS;IMS，PCSCF-IP;错误的网关
SIP;SIP;503;503 (Service Unavailable);IMS;IMS，PCSCF-IP;业务不可用
SIP;SIP;504;504 (Server Time-out);IMS;IMS，PCSCF-IP;服务器超时
SIP;SIP;505;505 (Version not supported);IMS;IMS，PCSCF-IP;版本不支持
SIP;SIP;513;513 (Message Too Large);IMS;IMS，PCSCF-IP;信息太长
SIP;SIP;580;580 (Precondition Failure);IMS;IMS，PCSCF-IP;预处理失败
SIP;SIP;600;600 (Busy Everywhere);IMS;IMS，PCSCF-IP;全局忙
SIP;SIP;603;603 (Decline);IMS;IMS，PCSCF-IP;全局拒绝
SIP;SIP;604;604 (Does Not Exist Anywhere);IMS;IMS，PCSCF-IP;全局不存在
SIP;SIP;606;606 (Not Acceptable);IMS;IMS，PCSCF-IP;全局不接受
X2;X2;;TimeOut;源CELL;源CELL, CELLID;超时
SV;SV;0;Reserved. Shall not be sent and if received the Cause shall be treated as an invalid IE;保留;保留;保留
SV;SV;1;Unspecified;MSC;MSC，MSC-IP;未知
SV;SV;2;Handover/Relocation cancelled by source system ;MME;MME，MME-IP;切换被源系统取消
SV;SV;3;Handover /Relocation Failure with Target system;MSC;MSC，MSC-IP;目标系统上切换失败
SV;SV;4;Handover/Relocation Target not allowed;MSC;MSC，MSC-IP;切换目标不允许
SV;SV;5;Unknown Target ID;MSC;MSC，MSC-IP;未知目标标识
SV;SV;6;Target Cell not available;MSC;MSC，MSC-IP;目标小区不可用
SV;SV;7;No Radio Resources Available in Target Cell;MSC;MSC，MSC-IP;目标小区上资源不足
SV;SV;8;Failure in Radio Interface Procedure;MSC;MSC，MSC-IP;无线失败处理失败
SV;SV;9;Permanent session leg establishment error;MSC;MSC，MSC-IP;永久的会话建立错误
SV;SV;10;Temporary session leg establishment error;MSC;MSC，MSC-IP;暂时的会话建立错误
